"","County.Name","District.Code","District.Name","grad.rate.poor","grad.rate.Eng.learners","grad.rate.all","count.poor","count.Eng.learners","count.all"
"167","Monmouth",100,"Asbury Park School District",88.2,68.4,84.4,68,19,109
"168","Monmouth",1650,"Freehold Regional High School District",90.1,70,95.8,433,60,2687
"169","Monmouth",2105,"Hazlet Township Public School District",90.4,NA,94.7,52,NA,226
"170","Monmouth",2120,"Henry Hudson Regional School District",94.4,NA,94,18,NA,50
"171","Monmouth",2230,"Holmdel Township School District",100,NA,97.9,12,NA,241
"172","Monmouth",2400,"Keansburg School District",72.2,NA,79.4,54,NA,97
"173","Monmouth",2430,"Keyport School District",90.6,NA,91.5,53,NA,94
"174","Monmouth",2770,"Long Branch Public School District",93.9,93.8,94.6,312,80,371
"175","Monmouth",2930,"Manasquan School District",89.4,NA,96,47,NA,272
"176","Monmouth",3040,"Matawan-Aberdeen Regional School District",78.4,NA,85.9,88,NA,291
"177","Monmouth",3160,"Middletown Township Public School District",86.9,NA,95.3,107,NA,829
"178","Monmouth",3270,"Monmouth Regional High School",86.8,76.5,90.6,68,17,224
"179","Monmouth",3510,"Neptune Township School District",74.4,50,76.2,199,24,323
"180","Monmouth",3810,"Township Of Ocean School District",86.7,73.7,94.6,75,19,242
"181","Monmouth",4365,"Red Bank Regional School District",87.1,65.4,92.9,140,26,323
"182","Monmouth",4580,"Rumson-Fair Haven Regional High School District",NA,NA,98.1,NA,NA,267
"183","Monmouth",4760,"Shore Regional High School District",90.9,NA,95.7,22,NA,162
"184","Monmouth",5310,"Upper Freehold Regional School District",87.5,NA,96,24,NA,297
"185","Monmouth",5420,"Wall Township Public School District",80.6,NA,94.6,31,NA,277
"186","Morris",450,"Boonton Town Public School District",93.7,66.7,95.5,63,12,179
"187","Morris",630,"Butler Public School District",95.1,NA,90.8,41,NA,120
"188","Morris",785,"School District Of The Chathams",NA,NA,98.2,NA,NA,328
"189","Morris",1110,"Dover Public School District",83.4,52.2,82.9,217,69,269
"190","Morris",1990,"Hanover Park Regional High School District",95.7,NA,96.8,23,NA,377
"191","Morris",2380,"Jefferson Township Public School District",82.9,NA,93.9,35,NA,228
"192","Morris",2460,"Kinnelon School District",91.7,NA,98,12,NA,148
"193","Morris",2870,"Madison Public School District",78.9,NA,95.8,19,NA,216
"194","Morris",3340,"Montville Township School District",88.2,NA,97.6,17,NA,255
"195","Morris",3370,"Morris Hills Regional School District",77.9,39.4,90.5,154,33,661
"196","Morris",3385,"Morris School District",80.3,54.8,90.2,173,73,491
"197","Morris",3450,"Mount Olive Township School District",88.7,NA,95.4,71,NA,372
"198","Morris",3460,"Mountain Lakes Public School District",NA,NA,98.8,NA,NA,169
"199","Morris",3950,"Parsippany-Troy Hills Township School District",90,71.4,95.9,100,21,511
"200","Morris",4080,"Pequannock Township School District",100,NA,98.9,16,NA,175
"201","Morris",4330,"Randolph Township School District",91.7,NA,97.7,36,NA,384
"202","Morris",4560,"Roxbury Township School District",88.5,NA,93.4,61,NA,302
"203","Morris",5660,"West Morris Regional High School District",80.8,63.6,95.8,26,11,600
"204","Ocean",185,"Barnegat Township School District",83.5,NA,88.8,109,NA,223
"205","Ocean",530,"Brick Township Public School District",87.9,94.4,93.1,240,18,692
"206","Ocean",770,"Central Regional School District",75,NA,87.1,156,NA,419
"207","Ocean",2360,"Jackson Township School District",91.8,64.7,95,194,17,717
"208","Ocean",2480,"Lacey Township School District",88.6,NA,93.1,105,NA,321
"209","Ocean",2520,"Lakewood Township School District",85,66.2,82.3,314,68,351
"210","Ocean",2940,"Manchester Township School District",92.2,NA,92.9,103,NA,252
"211","Ocean",4105,"Pinelands Regional School District",90.6,NA,92.7,128,NA,262
