"","income","educ","cntrep_opinions","cntrep_help","contact_rep","pid3.recode","women","race.eth","age"
"511",2,1,0,0,0,2,0,1,49
"512",4,3,0,0,0,3,0,1,68
"513",1,3,0,0,0,1,0,3,49
"514",2,6,1,1,2,3,0,2,62
"515",1,2,1,0,1,2,0,1,48
"516",1,2,1,1,2,2,0,1,48
"517",4,2,NA,NA,NA,1,1,2,47
"518",1,4,0,0,0,3,0,1,45
"519",2,3,0,0,0,3,0,2,48
"520",1,2,0,0,0,3,1,1,66
"521",3,3,1,1,2,2,0,1,78
"522",1,5,1,0,1,2,0,1,21
"523",2,6,0,0,0,3,0,2,40
"524",1,1,1,1,2,1,1,3,54
"525",2,4,0,0,0,1,1,3,29
"526",NA,3,1,0,1,1,0,1,24
"527",1,3,0,0,0,1,1,2,61
"528",2,5,1,0,1,1,1,1,65
"529",1,2,0,0,0,3,1,3,34
"530",2,3,0,0,0,3,1,3,38
"531",1,2,0,0,0,3,1,1,51
"532",4,2,0,0,0,1,0,3,41
"533",3,2,0,0,0,3,1,1,65
"534",2,5,0,0,0,1,0,2,58
"535",1,3,0,0,0,3,0,2,66
"536",1,5,1,0,1,1,1,1,58
"537",1,2,0,0,0,3,1,3,41
"538",1,1,0,0,0,3,0,3,27
"539",1,2,0,0,0,2,0,1,79
"540",1,2,0,1,1,3,1,2,58
"541",1,1,0,0,0,1,0,2,57
"542",1,2,0,0,0,1,1,1,21
"543",1,1,0,0,0,3,1,1,28
"544",NA,3,0,0,0,3,1,1,19
"545",1,3,0,0,0,2,1,1,72
"546",1,2,0,0,0,3,0,1,63
"547",3,6,1,1,2,3,0,5,64
"548",4,5,0,0,0,1,0,1,24
"549",1,3,1,0,1,2,0,5,20
"550",1,5,0,0,0,2,1,1,30
"551",1,2,0,0,0,2,0,1,69
"552",1,2,0,0,0,1,0,2,57
"553",2,6,1,0,1,1,0,1,29
"554",1,5,0,0,0,3,0,2,78
"555",1,2,0,0,0,3,0,1,61
"556",3,5,0,0,0,1,1,4,46
"557",3,4,0,0,0,1,0,3,32
"558",NA,5,0,0,0,3,0,1,55
"559",NA,5,0,0,0,2,1,1,72
"560",NA,5,0,0,0,3,1,5,44
"561",1,4,0,0,0,1,1,2,47
"562",1,4,0,0,0,2,0,1,55
"563",2,6,0,0,0,1,1,2,67
"564",2,3,1,1,2,1,1,2,70
"565",2,2,1,1,2,3,0,1,26
"566",1,6,1,0,1,3,1,1,43
"567",1,5,1,1,2,1,1,3,80
"568",1,2,1,1,2,1,1,2,62
"569",1,2,0,0,0,3,1,1,72
"570",2,3,0,0,0,2,1,1,33
"571",2,2,0,0,0,2,1,1,56
"572",1,6,1,0,1,3,1,1,40
"573",1,6,0,0,0,2,1,1,62
"574",4,3,0,0,0,3,1,5,45
"575",4,6,0,0,0,3,0,3,33
"576",1,2,0,1,1,2,0,1,28
"577",NA,1,0,0,0,1,1,1,29
"578",4,5,0,0,0,1,0,1,26
"579",1,1,0,0,0,3,1,1,25
"580",1,2,0,0,0,3,0,1,29
"581",1,2,1,0,1,2,1,1,88
"582",1,2,0,1,1,3,0,1,61
"583",1,2,0,0,0,2,1,1,25
"584",1,2,0,0,0,3,1,3,73
"585",1,2,0,1,1,1,1,2,63
"586",1,2,0,0,0,3,1,1,36
"587",1,2,0,0,0,2,1,1,65
"588",3,2,0,0,0,3,1,1,63
"589",2,2,0,0,0,3,1,1,60
"590",NA,3,0,1,1,1,0,2,68
"591",1,2,0,0,0,3,1,1,60
"592",3,2,0,0,0,2,0,1,67
"593",1,2,0,0,0,1,0,1,39
"594",3,6,0,0,0,1,1,4,67
"595",2,3,0,1,1,1,0,2,28
"596",1,1,0,0,0,3,1,1,70
"597",4,3,0,0,0,1,1,1,18
"598",2,5,1,0,1,3,0,3,59
"599",2,2,0,0,0,3,1,1,63
"600",3,3,0,0,0,2,0,1,50
"601",3,3,0,0,0,2,1,1,58
"602",1,5,0,0,0,1,1,3,27
"603",1,1,0,0,0,3,1,5,35
"604",4,3,0,0,0,1,1,2,58
"605",2,6,0,0,0,1,1,2,56
"606",1,3,0,0,0,3,1,1,66
"607",1,1,1,1,2,2,1,1,38
"608",3,2,1,0,1,2,1,1,48
"609",NA,2,0,0,0,2,1,1,49
"610",2,5,0,0,0,3,0,1,29
"611",1,1,0,0,0,3,1,2,23
"612",3,5,0,0,0,3,1,5,61
"613",3,3,1,0,1,3,0,3,62
"614",1,2,0,0,0,2,0,1,71
"615",1,6,0,0,0,1,1,1,47
"616",1,3,1,1,2,1,0,2,60
"617",1,2,1,1,2,2,1,1,23
"618",4,5,0,0,0,1,1,1,29
"619",1,2,0,0,0,1,0,1,64
"620",2,6,0,1,1,1,1,1,66
"621",1,2,1,0,1,3,1,1,73
"622",3,3,0,0,0,3,1,1,28
"623",1,6,1,1,2,3,1,1,61
"624",1,5,0,0,0,1,1,2,24
"625",2,3,1,0,1,2,1,1,31
"626",NA,1,0,0,0,3,0,1,44
"627",1,2,0,0,0,3,1,1,43
"628",2,4,0,0,0,2,0,3,57
"629",2,1,0,0,0,2,0,1,64
"630",1,2,0,0,0,1,1,1,22
"631",2,5,0,0,0,2,0,5,25
"632",2,5,0,0,0,3,1,3,34
"633",4,5,0,0,0,1,1,5,33
"634",3,5,0,0,0,2,1,1,30
"635",1,3,0,0,0,3,1,1,64
"636",2,5,0,0,0,2,0,1,54
"637",4,3,0,0,0,2,1,1,58
"638",4,6,1,0,1,3,0,1,40
"639",1,3,0,0,0,1,0,1,62
"640",2,3,1,0,1,3,0,1,57
"641",1,5,1,0,1,3,0,1,43
"642",NA,3,0,0,0,1,1,4,22
"643",4,5,1,0,1,3,0,1,42
"644",4,6,1,0,1,3,0,4,73
"645",1,6,0,0,0,3,0,3,43
"646",1,2,0,0,0,1,0,2,60
"647",2,3,1,0,1,1,0,1,20
"648",1,5,1,1,2,2,0,1,61
"649",1,3,0,1,1,3,0,3,25
"650",2,6,1,1,2,2,0,1,57
"651",1,2,1,0,1,1,1,2,26
"652",2,3,0,0,0,3,1,1,39
